race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity,numeric_race_id_race,date_race,race_name_race,turn_race,weather_race,track_condition_race,history_count,history_confidence,layoff_days,layoff_penalty,last_finish,last3_avg_finish,avg_finish,corner4_count,last3_avg_corner4,avg_corner4,front_rate,running_style,style_confidence,style_source,same_distance_count,same_distance_avg_finish,same_surface_count,same_surface_avg_finish,distance_score,history_score,corner4_restored_flag,used_history_date_col,grade_points_last3_raw,grade_points_last3,stayer_grade_points_last3_raw,stayer_grade_points_last3,grade_distance_style_points_last3_raw,grade_distance_style_points_last3,style_distance_fit_weight,grade_sample_confidence,gate,field_size,gate_risk_score,inside_traffic_risk,style_disadvantage_score,nige_count,senkou_count,sashi_count,oikomi_count,pace_pressure,pace_pressure_rate,pace_collapse_risk_v2,win5_leg,race_label
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,1,アリエスキング,https://db.netkeiba.com/horse/2021101468/,2021101468,牡,5,58.0,田口,,,202607020106,2026-07-25,四日市特別,左,unknown,良,14,1.0,55.0,0.02,5,6.666666666666667,4.642857142857143,14,4.0,5.5,0.5714285714285714,先行,1.0,corner4_last3,2,7.5,14,4.642857142857143,0.525571,0.760291,1,history_date,0.03996,0.039172,0.0,0.0,0.03037,0.029913,0.95,1.0,0,22,0.3884057971014493,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,2,アレ,https://db.netkeiba.com/horse/2021103287/,2021103287,牡,5,58.0,ハマーハン,,,202607020106,2026-07-25,四日市特別,左,unknown,良,8,1.0,153.0,0.07,14,9.333333333333334,5.75,8,6.666666666666667,7.375,0.25,差し,1.0,corner4_last3,8,5.75,8,5.75,0.6575,0.510741,1,history_date,0.01512,0.015006,0.0,0.0,0.012852,0.01277,0.85,1.0,0,22,0.41159420289855075,0.8,0.2,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,3,エブリーポッシブル,https://db.netkeiba.com/horse/2023106940/,2023106940,牝,3,53.0,岩田望,,,202607020106,2026-07-25,四日市特別,左,unknown,良,5,1.0,80.0,0.02,5,3.3333333333333335,3.0,5,3.0,4.2,0.8,逃げ,1.0,corner4_last3,5,3.0,5,3.0,0.74,0.85463,1,history_date,0.26516,0.232917,0.0,0.0,0.251902,0.222679,0.95,1.0,0,22,0.4202898550724638,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,4,オカメノコイ,https://db.netkeiba.com/horse/2022106698/,2022106698,牝,4,56.0,大野,,,202607020106,2026-07-25,四日市特別,左,unknown,良,16,1.0,77.0,0.02,13,9.0,7.5625,16,15.333333333333334,9.75,0.1875,追込,1.0,corner4_last3,9,9.222222222222221,15,7.133333333333334,0.574222,0.575278,1,history_date,0.04131,0.040468,0.0,0.0,0.028917,0.028503,0.7,1.0,0,22,0.6434782608695653,0.8,0.35,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,5,ゴルデールスカー,https://db.netkeiba.com/horse/2020103625/,2020103625,牡,6,58.0,坂井,,,202607020106,2026-07-25,四日市特別,左,unknown,良,34,1.0,49.0,0.02,10,5.0,6.4411764705882355,34,4.333333333333333,7.0588235294117645,0.29411764705882354,先行,1.0,corner4_last3,13,6.3076923076923075,28,6.392857142857143,0.639918,0.726373,1,history_date,0.08658,0.082938,0.0,0.0,0.065801,0.063683,0.95,1.0,0,22,0.4260869565217391,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,6,ザックザク,https://db.netkeiba.com/horse/2022100476/,2022100476,牡,4,58.0,北村友,,,202607020106,2026-07-25,四日市特別,左,unknown,良,8,1.0,125.0,0.045,3,2.0,2.75,8,5.0,5.0,0.625,先行,1.0,corner4_last3,6,2.3333333333333335,8,2.75,0.755833,0.893333,1,history_date,0.16416,0.151394,0.0,0.0,0.155952,0.1444,0.95,1.0,0,22,0.4956521739130435,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,7,ジェミート,https://db.netkeiba.com/horse/2022100327/,2022100327,牡,4,58.0,横山和,,,202607020106,2026-07-25,四日市特別,左,unknown,良,12,1.0,56.0,0.02,9,6.0,5.333333333333333,12,10.0,10.583333333333334,0.0,差し,1.0,corner4_last3,12,5.333333333333333,12,5.333333333333333,0.67,0.719074,1,history_date,0.0765,0.073647,0.0,0.0,0.065025,0.062956,0.85,1.0,0,22,0.5565217391304348,0.8,0.2,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,8,ステラスプレンダー,https://db.netkeiba.com/horse/2021105604/,2021105604,牝,5,56.0,吉村,,,202607020106,2026-07-25,四日市特別,左,unknown,良,18,1.0,77.0,0.02,11,12.666666666666666,6.777777777777778,18,5.333333333333333,3.6666666666666665,0.7777777777777778,先行,1.0,corner4_last3,8,7.625,11,6.2727272727272725,0.614773,0.510802,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,0,22,0.3188405797101449,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,9,スーパージョック,https://db.netkeiba.com/horse/2022103733/,2022103733,牡,4,58.0,三浦,,,202607020106,2026-07-25,四日市特別,左,unknown,良,14,1.0,91.0,0.045,8,11.333333333333334,5.071428571428571,14,6.666666666666667,3.7142857142857144,0.7857142857142857,差し,1.0,corner4_last3,1,8.0,14,5.071428571428571,0.475286,0.569868,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0,22,0.37681159420289856,0.8,0.2,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,10,ゼロヴィジビリティ,https://db.netkeiba.com/horse/2023101157/,2023101157,牡,3,55.0,ルメール,,,202607020106,2026-07-25,四日市特別,左,unknown,良,3,1.0,83.0,0.02,1,1.6666666666666667,1.6666666666666667,3,1.0,1.0,1.0,逃げ,1.0,corner4_last3,3,1.6666666666666667,2,1.0,0.666667,0.95963,1,history_date,0.13871,0.12952,0.0,0.0,0.131774,0.123461,0.95,1.0,0,22,0.39710144927536234,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,11,チュウワチーフ,https://db.netkeiba.com/horse/2022110117/,2022110117,牡,4,58.0,松山,,,202607020106,2026-07-25,四日市特別,左,unknown,良,16,1.0,118.0,0.045,4,4.333333333333333,4.125,16,6.666666666666667,3.6875,0.75,差し,1.0,corner4_last3,10,4.9,16,4.125,0.69075,0.812407,1,history_date,0.092745,0.088574,0.0,0.0,0.078833,0.075806,0.85,1.0,0,22,0.4985507246376812,0.8,0.2,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,12,ハリウッドブルース,https://db.netkeiba.com/horse/2021104514/,2021104514,牡,5,58.0,浜田,,,202607020106,2026-07-25,四日市特別,左,unknown,良,24,1.0,48.0,0.0,9,5.666666666666667,5.458333333333333,24,11.666666666666666,10.875,0.041666666666666664,追込,1.0,corner4_last3,24,5.458333333333333,24,5.458333333333333,0.66625,0.747222,1,history_date,0.05238,0.051032,0.0,0.0,0.036666,0.036002,0.7,1.0,0,22,0.6057971014492753,0.8,0.35,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,13,フィーチャリング,https://db.netkeiba.com/horse/2022105824/,2022105824,セ,4,58.0,原,,,202607020106,2026-07-25,四日市特別,左,unknown,良,13,1.0,48.0,0.0,10,8.333333333333334,6.538461538461538,13,12.333333333333334,11.307692307692308,0.07692307692307693,追込,1.0,corner4_last3,9,4.888888888888889,13,6.538461538461538,0.666838,0.658903,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0,22,0.5768115942028986,0.8,0.35,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,14,フクチャントウメイ,https://db.netkeiba.com/horse/2021105086/,2021105086,セ,5,58.0,吉田豊,,,202607020106,2026-07-25,四日市特別,左,unknown,良,15,1.0,48.0,0.0,9,11.666666666666666,6.733333333333333,15,12.333333333333334,6.733333333333333,0.3333333333333333,追込,1.0,corner4_last3,13,7.153846153846154,15,6.733333333333333,0.61959,0.584889,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0,22,0.518840579710145,0.8,0.35,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,15,ヘリテージブルーム,https://db.netkeiba.com/horse/2023103365/,2023103365,牡,3,55.0,戸崎圭,,,202607020106,2026-07-25,四日市特別,左,unknown,良,8,1.0,62.0,0.02,1,3.6666666666666665,2.875,8,4.333333333333333,4.875,0.5,先行,1.0,corner4_last3,8,2.875,7,2.857142857142857,0.743929,0.902037,1,history_date,0.13743,0.128405,0.0,0.0,0.130558,0.122395,0.95,1.0,0,22,0.4492753623188406,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,16,ホウオウゴールド,https://db.netkeiba.com/horse/2022106011/,2022106011,牡,4,58.0,小沢,,,202607020106,2026-07-25,四日市特別,左,unknown,良,14,1.0,48.0,0.0,7,6.333333333333333,5.5,14,11.333333333333334,8.0,0.2857142857142857,追込,1.0,corner4_last3,12,5.166666666666667,14,5.5,0.671667,0.757407,1,history_date,0.01512,0.015006,0.0,0.0,0.010584,0.010528,0.7,1.0,0,22,0.5855072463768116,0.8,0.35,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,17,ポートデラメール,https://db.netkeiba.com/horse/2022105963/,2022105963,牝,4,56.0,ルメール,,,202607020106,2026-07-25,四日市特別,左,unknown,良,7,1.0,112.0,0.045,2,3.6666666666666665,4.0,7,4.0,4.714285714285714,0.42857142857142855,先行,1.0,corner4_last3,7,4.0,4,3.0,0.704,0.858148,1,history_date,0.14229,0.13263,0.0,0.0,0.135176,0.126437,0.95,1.0,0,22,0.4405797101449275,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,18,モズケイスター,https://db.netkeiba.com/horse/2022102127/,2022102127,牡,4,58.0,坂井,,,202607020106,2026-07-25,四日市特別,左,unknown,良,15,1.0,105.0,0.045,1,1.6666666666666667,3.3333333333333335,15,5.666666666666667,8.2,0.2,先行,1.0,corner4_last3,15,3.3333333333333335,15,3.3333333333333335,0.73,0.927222,1,history_date,0.200205,0.181437,0.0,0.0,0.190195,0.173202,0.95,1.0,0,22,0.518840579710145,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,19,モズタチアガレ,https://db.netkeiba.com/horse/2022106010/,2022106010,牡,4,58.0,北村友,,,202607020106,2026-07-25,四日市特別,左,unknown,良,16,1.0,112.0,0.045,8,4.0,3.875,16,4.333333333333333,4.9375,0.5625,先行,1.0,corner4_last3,15,3.6666666666666665,16,3.875,0.717917,0.766667,1,history_date,0.10431,0.099054,0.0,0.0,0.099095,0.094343,0.95,1.0,0,22,0.4434782608695652,0.2,0.0,2,9,5,6,9.6,0.43636363636363634,0.30272727272727273,1,2026-07-25-02-06
