race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity,numeric_race_id_race,date_race,race_name_race,turn_race,weather_race,track_condition_race,history_count,history_confidence,layoff_days,layoff_penalty,last_finish,last3_avg_finish,avg_finish,corner4_count,last3_avg_corner4,avg_corner4,front_rate,running_style,style_confidence,style_source,same_distance_count,same_distance_avg_finish,same_surface_count,same_surface_avg_finish,distance_score,history_score,corner4_restored_flag,used_history_date_col,grade_points_last3_raw,grade_points_last3,stayer_grade_points_last3_raw,stayer_grade_points_last3,grade_distance_style_points_last3_raw,grade_distance_style_points_last3,style_distance_fit_weight,grade_sample_confidence,gate,field_size,gate_risk_score,inside_traffic_risk,style_disadvantage_score,nige_count,senkou_count,sashi_count,oikomi_count,pace_pressure,pace_pressure_rate,pace_collapse_risk_v2,win5_leg,race_label
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,1,アヴァランチ,https://db.netkeiba.com/horse/2023101495/,2023101495,牡,3,55.0,三浦,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,6,1.0,42.0,0.0,6.0,3.0,4.333333333333333,6,4.0,6.166666666666667,0.3333333333333333,先行,1.0,corner4_last3,1,8.0,6,4.333333333333333,0.482667,0.863519,1,history_date,0.052644,0.051282,0.0,0.0,0.028428,0.028027,0.9,1.0,0,14,0.4800000000000001,0.2,0.0,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,2,イリュストル,https://db.netkeiba.com/horse/2022105154/,2022105154,牡,4,58.0,佐々木,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,5,1.0,62.0,0.02,8.0,9.666666666666666,6.6,5,7.333333333333333,5.2,0.4,差し,1.0,corner4_last3,2,6.5,0,,0.281213,0.631593,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0,14,0.4355555555555556,0.8,0.2,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,3,インナーパッション,https://db.netkeiba.com/horse/2023103714/,2023103714,牡,3,55.0,横山琉,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,2,0.866667,48.0,0.0,1.0,4.0,4.0,2,7.0,7.0,0.0,差し,1.0,corner4_last3,1,7.0,1,1.0,0.357252,0.787223,1,history_date,0.041,0.034815,0.0,0.0,0.02952,0.02521,0.9,0.866667,0,14,0.5733333333333334,0.8,0.2,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,4,ヴィエントデコラ,https://db.netkeiba.com/horse/2023103677/,2023103677,牡,3,55.0,田山,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,10,1.0,13.0,0.0,9.0,8.666666666666666,4.5,10,6.666666666666667,5.2,0.4,差し,1.0,corner4_last3,9,4.555555555555555,10,4.5,0.693889,0.673148,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0,14,0.4355555555555556,0.8,0.2,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,5,ケルピー,https://db.netkeiba.com/horse/2022101801/,2022101801,セ,4,58.0,赤岡修,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,12,1.0,98.0,0.045,2.0,1.5,3.1,10,1.5,3.7,0.6666666666666666,逃げ,1.0,corner4_last3,5,4.8,12,3.1,0.703,0.918722,1,history_date,0.0726,0.070027,0.0,0.0,0.05841,0.056737,0.9,1.0,0,14,0.42000000000000004,0.2,0.0,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,6,コッレヴェッキオ,https://db.netkeiba.com/horse/2021105730/,2021105730,セ,5,58.0,北村宏,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,12,1.0,70.0,0.02,2.0,9.333333333333334,7.083333333333333,12,7.333333333333333,6.75,0.25,差し,1.0,corner4_last3,12,7.083333333333333,10,6.5,0.623333,0.721481,1,history_date,0.0558,0.054272,0.0,0.0,0.05022,0.04898,0.9,1.0,0,14,0.4444444444444444,0.8,0.2,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,7,サトノフェンサー,https://db.netkeiba.com/horse/2023103157/,2023103157,牡,3,55.0,三浦,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,2,0.866667,90.0,0.045,1.0,3.5,3.5,2,7.5,7.5,0.0,差し,1.0,corner4_last3,2,3.5,2,3.5,0.493134,0.761463,1,history_date,0.041,0.034815,0.0,0.0,0.0369,0.031397,0.9,0.866667,0,14,0.6066666666666667,0.8,0.2,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,8,パイオニアスクエア,https://db.netkeiba.com/horse/2022105367/,2022105367,牡,4,58.0,富田,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,8,1.0,28.0,0.0,5.0,5.0,4.0,8,1.6666666666666667,3.125,0.875,逃げ,1.0,corner4_last3,4,3.75,0,,0.449,0.826667,1,history_date,0.05346,0.052056,0.0,0.0,0.041083,0.040251,0.9,1.0,0,14,0.33333333333333337,0.2,0.0,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,9,バッカステソーロ,https://db.netkeiba.com/horse/2023106753/,2023106753,牡,3,55.0,山口勲,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,3,1.0,54.0,0.02,1.0,4.666666666666667,4.666666666666667,3,4.666666666666667,4.666666666666667,0.6666666666666666,先行,1.0,corner4_last3,0,,2,1.0,0.185147,0.867963,1,history_date,0.10175,0.096745,0.0,0.0,0.064845,0.062787,0.9,1.0,0,14,0.4622222222222222,0.2,0.0,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,10,ハルノアラシ,https://db.netkeiba.com/horse/2022106099/,2022106099,牡,4,58.0,石川,,,202604020108,2026-07-25,清津峡特別,左,unknown,良,19,1.0,14.0,0.0,9.0,7.333333333333333,5.7368421052631575,19,13.666666666666666,7.368421052631579,0.3157894736842105,追込,1.0,corner4_last3,10,4.9,19,5.7368421052631575,0.674632,0.702466,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0,14,0.7511111111111111,0.8,0.35,2,5,6,1,6.4,0.4571428571428572,0.31,1,2026-07-25-01-08
