race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,12,フライングブレード,https://db.netkeiba.com/horse/2020100906/,2020100906,牡,6,58.0,石橋脩,,
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,13,ポッドロワール,https://db.netkeiba.com/horse/2022101573/,2022101573,牡,4,58.0,荻野極,,
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,14,ボンヌソワレ,https://db.netkeiba.com/horse/2022105435/,2022105435,牝,4,56.0,津村,,
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,15,ミストレス,https://db.netkeiba.com/horse/2022103754/,2022103754,牝,4,56.0,田口,,
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,16,モジャーリオ,https://db.netkeiba.com/horse/2022106603/,2022106603,牡,4,58.0,高杉,,
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,17,モンテシート,https://db.netkeiba.com/horse/2022105108/,2022105108,牡,4,58.0,ディー,,
2026-07-25-01-07,202604020107,2026-07-25,新潟,7,新潟日報賞,芝,1400,左,unknown,良,0,18,ルミノメテオール,https://db.netkeiba.com/horse/2020104332/,2020104332,牝,6,56.0,酒井,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,1,アヴァランチ,https://db.netkeiba.com/horse/2023101495/,2023101495,牡,3,55.0,三浦,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,2,イリュストル,https://db.netkeiba.com/horse/2022105154/,2022105154,牡,4,58.0,佐々木,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,3,インナーパッション,https://db.netkeiba.com/horse/2023103714/,2023103714,牡,3,55.0,横山琉,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,4,ヴィエントデコラ,https://db.netkeiba.com/horse/2023103677/,2023103677,牡,3,55.0,田山,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,5,ケルピー,https://db.netkeiba.com/horse/2022101801/,2022101801,セ,4,58.0,赤岡修,,
