race_id,numeric_race_id,date,course,race_number,race_name,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried_today,jockey_today,odds_today,popularity_today,history_index,history_date,history_place,history_race_name,history_class,history_frame_number,history_horse_number,history_distance_text,history_surface,history_distance,history_course_condition,history_finish,history_popularity,history_odds,history_last3f,history_margin,history_weight,history_passing,history_time,history_jockey,history_horse_weight,history_weather,corner1,corner2,corner3,corner4
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,0,2026/06/28,2福島2,ラジオNIKKEI賞(GIII),,5,10,芝1800,芝,1800,良,5.0,16,151.8,34.7,0.4,54,8-8-4-3,1:45.6,石橋脩,450(0),晴,8.0,8.0,4.0,3.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,1,2026/04/11,3中山5,ニュージーランドT(GII),,7,13,芝1600,芝,1600,良,11.0,12,161.6,35.1,1.3,57,5-5-5,1:34.6,石橋脩,450(+2),晴,5.0,5.0,5.0,5.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,2,2026/03/15,2中山6,フジTVスプリングS(GII),,3,6,芝1800,芝,1800,良,10.0,10,55.6,35.2,0.7,57,8-8-9-10,1:46.7,石橋脩,448(0),晴,8.0,8.0,9.0,10.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,3,2026/02/15,1東京6,共同通信杯(GIII),,3,3,芝1800,芝,1800,良,7.0,8,96.6,35.3,1.0,57,2-1-1,1:46.5,石橋脩,448(+10),晴,2.0,1.0,1.0,1.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,4,2025/11/15,4京都3,デイリー杯2歳S(GII),,3,3,芝1600,芝,1600,良,7.0,5,19.1,36.1,1.7,56,2-2,1:34.8,杉原誠人,438(-4),晴,2.0,2.0,,2.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,5,2025/10/11,4東京3,サウジアラビアRC(GIII),,1,1,芝1600,芝,1600,良,2.0,7,53.4,34.0,0.3,56,3-3,1:34.1,杉原誠人,442(+2),小雨,3.0,3.0,,3.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,6,2025/08/24,3新潟2,2歳未勝利,,1,1,芝1600,芝,1600,良,1.0,3,13.4,33.3,0.0,55,1-1,1:37.4,杉原誠人,440(+6),晴,1.0,1.0,,1.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,1,ガリレア,https://db.netkeiba.com/horse/2023100681/,2023100681,牡,3,55.0,石橋脩,,,7,2025/07/27,2新潟2,2歳新馬,,5,5,芝1600,芝,1600,良,5.0,9,83.3,33.3,0.4,55,2-2,1:37.5,杉原誠人,434(0),晴,2.0,2.0,,2.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,2,ギフテッド,https://db.netkeiba.com/horse/2022102920/,2022102920,牝,4,56.0,今村,,,0,2026/06/20,3東京5,相模湖特別(2勝クラス),,4,5,芝1400,芝,1400,稍,9.0,12,95.4,34.1,0.9,56,7-7,1:22.5,今村聖奈,464(+10),雨,7.0,7.0,,7.0
2026-07-25-01-06,202604020106,2026-07-25,新潟,6,豊栄特別,2,ギフテッド,https://db.netkeiba.com/horse/2022102920/,2022102920,牝,4,56.0,今村,,,1,2025/10/12,4東京4,鷹巣山特別(2勝クラス),,1,2,芝1600,芝,1600,良,7.0,7,19.2,33.6,0.5,52,8-9,1:32.5,今村聖奈,454(0),曇,8.0,9.0,,9.0
