race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity,numeric_race_id_race,date_race,race_name_race,turn_race,weather_race,track_condition_race,history_count,history_confidence,layoff_days,layoff_penalty,last_finish,last3_avg_finish,avg_finish,corner4_count,last3_avg_corner4,avg_corner4,front_rate,running_style,style_confidence,style_source,same_distance_count,same_distance_avg_finish,same_surface_count,same_surface_avg_finish,distance_score,history_score,corner4_restored_flag,used_history_date_col,grade_points_last3_raw,grade_points_last3,stayer_grade_points_last3_raw,stayer_grade_points_last3,grade_distance_style_points_last3_raw,grade_distance_style_points_last3,style_distance_fit_weight,grade_sample_confidence,gate,field_size,gate_risk_score,inside_traffic_risk,style_disadvantage_score,nige_count,senkou_count,sashi_count,oikomi_count,pace_pressure,pace_pressure_rate,pace_collapse_risk_v2,win5_leg,race_label
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,1,アトレッタ,https://db.netkeiba.com/horse/2023104008/,2023104008,牡,3,55.0,池添,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,2,0.866667,76.0,0.02,1.0,4.0,4.0,2,5.5,5.5,0.5,先行,1.0,corner4_last3,2,4.0,2,4.0,0.480134,0.769889,1,history_date,0.041,0.034815,0.0,0.0,0.0369,0.031397,0.9,0.866667,0,13,0.5214285714285715,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,2,アンビアンス,https://db.netkeiba.com/horse/2022106634/,2022106634,牝,4,56.0,吉村,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,17,1.0,41.0,0.0,6.0,8.0,8.235294117647058,17,8.333333333333334,10.411764705882353,0.0,差し,1.0,corner4_last3,16,7.875,17,8.235294117647058,0.590147,0.715621,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0,13,0.5285714285714286,0.6,0.2,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,3,キシダンチョウ,https://db.netkeiba.com/horse/2023106960/,2023106960,牡,3,55.0,高杉,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,3,1.0,91.0,0.045,3.0,2.6666666666666665,2.6666666666666665,3,6.333333333333333,6.333333333333333,0.3333333333333333,先行,1.0,corner4_last3,1,3.0,3,2.6666666666666665,0.567333,0.876296,1,history_date,0.08314,0.079778,0.01224,0.012165,0.065693,0.063582,0.9,1.0,0,13,0.5952380952380952,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,4,コスモグローリー,https://db.netkeiba.com/horse/2022105470/,2022105470,牡,4,58.0,北出,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,12,1.0,210.0,0.1,7.0,4.0,4.25,12,4.0,4.25,0.6666666666666666,先行,1.0,corner4_last3,5,6.8,12,4.25,0.6515,0.723889,1,history_date,0.07011,0.067709,0.0,0.0,0.050479,0.049226,0.9,1.0,0,13,0.4571428571428572,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,5,サイモンシャリオ,https://db.netkeiba.com/horse/2023101569/,2023101569,牡,3,55.0,田口,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,10,1.0,27.0,0.0,6.0,5.0,4.4,10,6.666666666666667,7.9,0.2,差し,1.0,corner4_last3,8,4.25,10,4.4,0.701,0.811,1,history_date,0.02268,0.022425,0.0,0.0,0.020412,0.020205,0.9,1.0,0,13,0.5428571428571428,0.6,0.2,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,6,サラコスティ,https://db.netkeiba.com/horse/2022104793/,2022104793,牡,4,58.0,レーン,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,12,1.0,62.0,0.02,3.0,4.333333333333333,5.5,12,7.666666666666667,5.416666666666667,0.5,差し,1.0,corner4_last3,9,5.222222222222222,11,5.2727272727272725,0.672828,0.845185,1,history_date,0.07983,0.076727,0.0324,0.031881,0.066015,0.063883,0.9,1.0,0,13,0.6047619047619048,0.6,0.2,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,7,サンダーバード,https://db.netkeiba.com/horse/2023105292/,2023105292,牝,3,53.0,今村,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,6,1.0,27.0,0.0,1.0,4.666666666666667,5.833333333333333,6,3.0,4.5,0.5,逃げ,1.0,corner4_last3,3,4.666666666666667,6,5.833333333333333,0.606333,0.882778,1,history_date,0.051332,0.050037,0.0,0.0,0.046199,0.045148,0.9,1.0,0,13,0.3952380952380952,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,8,スノースケープ,https://db.netkeiba.com/horse/2023107516/,2023107516,牝,3,53.0,川田,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,2,0.866667,62.0,0.02,1.0,2.0,2.0,2,2.0,2.0,1.0,逃げ,1.0,corner4_last3,2,2.0,2,2.0,0.532134,0.822852,1,history_date,0.053546,0.045186,0.0,0.0,0.048191,0.040775,0.9,0.866667,0,13,0.4285714285714286,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,9,パイオニアスクエア,https://db.netkeiba.com/horse/2022105367/,2022105367,牡,4,58.0,富田,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,8,1.0,28.0,0.0,5.0,5.0,4.0,8,1.6666666666666667,3.125,0.875,逃げ,1.0,corner4_last3,7,3.4285714285714284,8,4.0,0.721429,0.826667,1,history_date,0.05346,0.052056,0.0,0.0,0.048114,0.046975,0.9,1.0,0,13,0.3285714285714285,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,10,ブラックシャリマー,https://db.netkeiba.com/horse/2023103246/,2023103246,牡,3,55.0,西村淳,,,202607020108,2026-07-25,香嵐渓特別,左,unknown,良,4,1.0,49.0,0.02,2.0,1.6666666666666667,2.0,4,3.0,3.25,1.0,逃げ,1.0,corner4_last3,4,2.0,4,2.0,0.718,0.944259,1,history_date,0.13193,0.123598,0.0,0.0,0.118737,0.111959,0.9,1.0,0,13,0.48095238095238096,0.0,0.0,4,5,4,0,8.8,0.676923076923077,0.3869230769230769,1,2026-07-25-02-08
