race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,1,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,2,2,ゴーソーファー,https://db.netkeiba.com/horse/2022104781/,2022104781,牝,4,56.0,嶋田,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,3,3,ビッグデイメイク,https://db.netkeiba.com/horse/2022102532/,2022102532,牝,4,56.0,柴田大,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,4,4,アロンズロッド,https://db.netkeiba.com/horse/2022104635/,2022104635,牡,4,58.0,戸崎圭,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,5,5,バセリーナ,https://db.netkeiba.com/horse/2022106772/,2022106772,牡,4,58.0,野中,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,5,6,コスモイシュタル,https://db.netkeiba.com/horse/2022106825/,2022106825,牝,4,56.0,松岡,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,6,7,ルールーリマ,https://db.netkeiba.com/horse/2022100781/,2022100781,牝,4,56.0,荻野極,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,6,8,レッセパッセ,https://db.netkeiba.com/horse/2021106826/,2021106826,牝,5,56.0,原,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,7,9,ヤマニンガラッシア,https://db.netkeiba.com/horse/2017101772/,2017101772,牡,9,58.0,木幡巧,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,7,10,クラヴァンス,https://db.netkeiba.com/horse/2022104669/,2022104669,牡,4,58.0,坂井,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,8,11,ヨシヒロ,https://db.netkeiba.com/horse/2022103405/,2022103405,牡,4,58.0,木幡育,,
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,芝,2000,右,晴,良,8,12,バードウォッチャー,https://db.netkeiba.com/horse/2021105375/,2021105375,牡,5,58.0,津村,,
